precision,recall,f1-score,support
0.9946862348178138,0.9984759969519938,0.9965775129927747,3937.0
0.892988806220256,0.9518451041331761,0.9214780999809791,27993.0
0.6044508255563532,0.5545310853530031,0.5784158823933503,7592.0
0.7375338229609586,0.7973255328040117,0.7662650602409639,2393.0
0.9035303776683087,0.8582011957369379,0.8802826289828023,7694.0
0.7976356050069541,0.7934970598408855,0.7955609502340906,2891.0
0.6995214507598019,0.6440442142691505,0.6706374758531873,12937.0
0.8240445008175803,0.8240445008175803,0.8240445008175803,0.8240445008175803
0.8043353032843495,0.7997028841555941,0.8013168015254497,65437.0
0.8187242803506485,0.8240445008175803,0.8205199821101237,65437.0
